Target URL,Target HTTP status code,Target no-crawl reason
https://jbadvocacia.roilabs.com.br/assets/index-BcPGWLFv.js,200,
https://www.googletagmanager.com/gtag/js?id=G-DFRN52K0HE,,Crawl speed is too limited
