Target URL,Target HTTP status code,Target no-crawl reason
https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700;800&family=Lato:wght@300;400;700&display=swap,,Crawl speed is too limited
https://jbadvocacia.roilabs.com.br/assets/index-C1yhF0qW.css,200,
